subject,rating_col,rating,song_id,genre_allmusic,trackname,danceability,valence,energy,acousticness,instrumentalness,speechiness,liveness,tempo,loudness,density,like_label,danceability_like,valence_like,energy_like,acousticness_like,instrumentalness_like,speechiness_like,liveness_like,tempo_like,loudness_like,density_like,preferred_genre
S161,s17r,4.0,17,classical,Gabriel's Oboe,0.233,0.0675,0.195,0.96,0.914,0.0461,0.0793,61.211,-17.202,155.821534,like,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s53r,3.0,53,rnb,How You Want It? (feat. King Combs),0.425,0.715,0.706,0.276,0.0,0.193,0.0998,89.331,-2.766,3.104600429,neutral,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S169,s31r,2.0,31,electronic,Falaise,0.356,0.0397,0.401,0.434,0.789,0.0467,0.176,142.945,-14.475,20.14415792,dislike,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,rnb
S169,s13r,3.0,13,classical,"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",0.241,0.187,0.122,0.925,0.66,0.0497,0.126,66.325,-22.411,59.96761182,neutral,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,rnb
S169,s15r,2.0,15,classical,"Water Music Suite No. 1 In F, HWV 348: 2. Adagio e staccato",0.201,0.0842,0.036,0.95,0.891,0.0445,0.116,106.02,-24.204,135.7743758,dislike,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,rnb
S169,s7r,2.0,7,pop-rock,I'm a Slave 4 U,0.847,0.963,0.843,0.415,0.000134,0.106,0.107,110.027,-3.579,3.761015186,dislike,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,rnb
S169,s60r,3.0,60,rnb,Between the Sheets,0.719,0.575,0.377,0.661,0.0,0.0974,0.0902,83.919,-12.585,4.909530227,neutral,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,rnb
S169,s44r,2.0,44,rap,Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster,0.711,0.912,0.871,0.398,1.69e-06,0.294,0.171,91.153,-4.32,1.774843317,dislike,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,rnb
S169,s21r,2.0,21,country,Blue Eyes Crying In the Rain,0.626,0.418,0.04,0.928,0.00178,0.0405,0.11,117.136,-19.994,2.241434191,dislike,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,rnb
S169,s39r,2.0,39,electronic,Your Love (feat. Jamie Principle),0.698,0.179,0.871,0.0213,0.844,0.0423,0.0751,117.562,-7.923,25.5294362,dislike,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,rnb
S169,s58r,4.0,58,rnb,Be My Baby,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,like,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,rnb
S169,s33r,1.0,33,electronic,Arguru 2k19,0.702,0.284,0.603,0.0253,0.802,0.0519,0.118,128.0,-7.532,16.6168163,dislike,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,rnb
